股票代码,股票名称,分类标签
SZ002354,天娱数科,自选股
SZ002361,神剑股份,自选股
SZ002362,汉王科技,自选股
SZ002364,中恒电气,自选股
SZ002373,千方科技,自选股
SZ002381,双箭股份,自选股
SZ002389,航天彩虹,自选股
SZ002395,双象股份,自选股
SZ002403,爱仕达,自选股
SZ002406,远东传动,自选股
SZ002409,雅克科技,自选股
SZ002418,康盛股份,自选股
SZ002428,云南锗业,自选股
SZ002430,杭氧股份,自选股
SZ002432,九安医疗,自选股
SZ002438,江苏神通,自选股
SZ002443,金洲管道,自选股
SZ002446,盛路通信,自选股
SZ002453,华软科技,自选股
SZ002455,百川股份,自选股
SZ002462,嘉事堂,自选股
SZ002465,海格通信,自选股
SZ002466,天齐锂业,自选股
SZ002472,双环传动,自选股
SZ002489,浙江永强,自选股
SZ002493,荣盛石化,自选股
SZ002498,汉缆股份,自选股
SZ002511,中顺洁柔,自选股
SZ002512,ST达华,自选股
SZ002522,浙江众成,自选股
SZ002530,金财互联,自选股
SZ002535,林州重机,自选股
SZ002536,飞龙股份,自选股
SZ002537,海联金汇,自选股
SZ002544,普天科技,自选股
SZ002549,凯美特气,自选股
SZ002553,南方精工,自选股
SZ002554,惠博普,自选股
SZ002555,三七互娱,自选股
SZ002563,森马服饰,自选股
SZ002575,群兴玩具,自选股
SZ002576,通达动力,自选股
SZ002579,中京电子,自选股
SZ002583,海能达,自选股
SZ002584,西陇科学,自选股
SZ002600,领益智造,自选股
SZ002601,龙佰集团,自选股
SZ002607,中公教育,自选股
SZ002611,东方精工,自选股
SZ002612,朗姿股份,自选股
SZ002617,露笑科技,自选股
SZ002623,亚玛顿,自选股
SZ002625,光启技术,自选股
SZ002641,公元股份,自选股
SZ002645,华宏科技,自选股
SZ002664,信质集团,自选股
SZ002681,奋达科技,自选股
SZ002692,远程股份,自选股
SZ002697,红旗连锁,自选股
SZ002708,光洋股份,自选股
SZ002714,牧原股份,自选股
SZ002727,一心堂,自选股
SZ002734,利民股份,自选股
SZ002741,光华科技,自选股
SZ002749,国光股份,自选股
SZ002752,昇兴股份,自选股
SZ002756,永兴材料,自选股
SZ002759,天际股份,自选股
SZ002761,浙江建投,自选股
SZ002765,蓝黛科技,自选股
SZ002790,瑞尔特,自选股
SZ002805,丰元股份,自选股
SZ002810,山东赫达,自选股
SZ002813,路畅科技,自选股
SZ002815,崇达技术,自选股
SZ002824,和胜股份,自选股
SZ002828,贝肯能源,自选股
SZ002829,星网宇达,自选股
SZ002838,道恩股份,自选股
SZ002843,泰嘉股份,自选股
SZ002862,实丰文化,自选股
SZ002866,传艺科技,自选股
SZ002878,元隆雅图,自选股
SZ002886,沃特股份,自选股
SZ002908,德生科技,自选股
SZ002923,润都股份,自选股
SZ002927,泰永长征,自选股
SZ002937,兴瑞科技,自选股
SZ002949,华阳国际,自选股
SZ002955,鸿合科技,自选股
SZ002957,科瑞技术,自选股
