代码,    名称,现价,涨幅,涨跌,4分钟涨速,主力净量,总手,换手,量比,自选时间,自选价格,自选收益,现手,开盘,昨收,最高,最低,市盈(动),市净率,委比%,振幅,总市值,实体涨幅
SZ000725,京东方Ａ,4.37,-2.02%,-0.09,-0.23%,-0.01,937985500,2.58%,0.98,20260106,4.5,-2.89%,9334170--,4.42,4.46,4.43,4.31,26.39,1.22,24.38,2.69%,161883710000,-1.13%
SZ300827,上能电气,38.83,3.77%,1.41,0.03%,0.52,36647626,9.51%,1.47,20260106,38.92,-0.23%,100--,37.06,37.42,39.15,36.65,52.15,5.34,-7.31,6.68%,21616334000,4.78%
SZ001283,豪鹏科技,62.46,0.66%,0.41,0.02%,-0.35,1747314,2.19%,0.74,20260106,72.96,-14.39%,23700--,61.9,62.05,62.7,61.6,26.73,1.81,-0.8,1.77%,6242444000,0.90%
06603,IFBH,11.14,-4.38%,-0.51,-0.09%,-0.35,6045200,2.27%,0.71,20260106,16.53,-32.61%,49200--,11.88,11.65,12.06,11.14,16.76,2.23,31.62,7.90%,2970668200,-6.23%
SH600266,城建发展,5.37,1.90%,0.1,0.00%,0.21,35048297,1.69%,0.71,20260105,5.58,-3.76%,451700--,5.27,5.27,5.38,5.25,10.93,0.574,9.68,2.47%,11146742600,1.90%
SZ300753,爱朋医疗,34.15,2.92%,0.97,-0.06%,0.27,13914019,15.83%,1.73,20260105,33.3,2.55%,114400--,32.84,33.18,35.11,32.74,,6.33,-67.47,7.14%,4304539200,3.99%
SH603903,中持股份,12.49,3.48%,0.42,-0.08%,-0.01,5297470,2.07%,0.88,20260105,14.17,-11.86%,47300--,11.92,12.07,12.55,11.92,50.25,2.04,-59.63,5.22%,3188940300,4.78%
SH600664,哈药股份,3.49,0.87%,0.03,-0.29%,0,20999479,0.83%,0.81,20260105,3.51,-0.57%,381400--,3.45,3.46,3.5,3.44,20.06,1.55,16.41,1.73%,8789599500,1.16%
SZ300446,航天智造,23,1.10%,0.25,0.00%,-0.11,15284973,4.09%,0.68,20260105,24.7,-6.88%,100--,22.51,22.75,23.26,22.4,22.08,3.3,-15.39,3.78%,19444433000,2.18%
SH600363,联创光电,59.47,-1.80%,-1.09,-0.03%,-0.19,8868110,1.97%,0.71,20260105,69.37,-14.27%,53900--,60.04,60.56,60.62,59.11,50.22,6.09,86.89,2.49%,26814336000,-0.95%
SH600477,杭萧钢构,3.55,-0.28%,-0.01,-0.28%,0.03,51747857,2.19%,0.49,20251229,2.92,21.58%,422800--,3.53,3.56,3.57,3.51,42.21,1.65,14.86,1.69%,8374337900,0.57%
SZ300124,汇川技术,71.47,1.53%,1.08,-0.10%,0.02,26929956,1.12%,0.89,20251231,75.33,-5.12%,200--,70.28,70.39,71.98,70.01,34.11,5.63,39.17,2.80%,193485630000,1.69%
920002,万达轴承,92.23,-0.60%,-0.56,0.00%,0.02,402181,1.28%,0.56,--,--,--,8487--,92,92.79,93.49,92,65.98,5.69,75.26,1.61%,4196738700,0.25%
SZ301078,孩子王,9.83,1.34%,0.13,-0.20%,-0.09,49877271,3.98%,0.6,20251231,10.37,-5.21%,1200--,9.61,9.7,9.86,9.48,44.46,2.98,-15.62,3.92%,12397621700,2.29%
SH601595,上海电影,26.54,-0.15%,-0.04,0.00%,-0.08,7326400,1.63%,0.75,20251230,29.19,-9.08%,87800--,26.57,26.58,26.93,26.41,63.99,6.87,66.58,1.96%,11895228000,-0.11%
SZ300579,数字认证,29.83,-0.57%,-0.17,-0.03%,-0.09,3344477,1.28%,0.58,20251230,34.99,-14.75%,33500--,29.78,30,30.3,29.58,,10.3,20.08,2.40%,8054100000,0.17%
SZ003040,楚天龙,17.83,0.73%,0.13,0.00%,-0.01,5194700,1.14%,0.55,20251230,20.32,-12.25%,75800--,17.68,17.7,17.88,17.56,,5.87,-54.78,1.81%,8222054400,0.85%
SZ300777,中简科技,41.4,1.22%,0.5,-0.05%,0.12,12801997,3.02%,0.67,20251230,38.79,6.73%,300--,40.54,40.9,42.29,40.5,47.08,4.07,75.57,4.38%,18203892000,2.12%
SH600481,双良节能,7.66,0.39%,0.03,0.00%,-0.16,90488284,4.38%,0.49,20251229,6.34,20.82%,810100--,7.57,7.63,7.8,7.48,,3.48,27.27,4.19%,15811480000,1.19%
SZ002544,普天科技,29.98,2.53%,0.74,0.00%,0.03,10781833,1.58%,0.7,20251229,33.93,-11.64%,109730--,29.01,29.24,30.41,28.92,871.6,5.46,-47.69,5.10%,20402406000,3.34%
SZ000523,红棉股份,3.73,3.04%,0.11,0.00%,0.27,34987161,2.64%,0.84,20251226,4.05,-7.90%,590700--,3.61,3.62,3.74,3.6,78.64,3.62,-1.15,3.87%,6846297400,3.32%
SZ002428,云南锗业,43.19,-2.26%,-1,0.00%,-0.57,45340394,6.94%,0.39,20251226,30.87,39.91%,525800--,44.43,44.19,44.96,42.9,1166,19.38,40.38,4.66%,28208253000,-2.79%
SH601677,明泰铝业,16.79,-2.89%,-0.5,0.00%,-0.19,37934531,3.11%,0.82,20251226,14.69,14.30%,487800--,17.01,17.29,17.02,16.65,11.15,1.12,59.4,2.14%,20878762000,-1.29%
SH601600,中国铝业,13.97,-5.54%,-0.82,-0.07%,-0.33,375445880,2.85%,0.85,20251226,11.84,17.99%,3131450--,14.39,14.79,14.39,13.71,16.53,3.26,-23.22,4.60%,239654950000,-2.92%
SH600515,海南机场,4.06,1.00%,0.04,-0.25%,0.06,79393872,0.87%,0.71,20251226,5.54,-26.71%,993400--,4.01,4.02,4.07,3.97,540.6,1.97,-17.39,2.49%,46386757000,1.25%
SZ002805,丰元股份,17.82,5.69%,0.96,0.00%,3.08,57766823,20.74%,3.05,20251226,18.88,-5.61%,500400--,18.55,16.86,18.55,17.6,,5.05,-11.46,5.63%,4990713900,-3.94%
SZ002756,永兴材料,68.88,0.26%,0.18,0.00%,-0.01,14318318,3.68%,0.51,20251226,55.51,24.09%,137440--,67.5,68.7,70.37,66.68,52.39,2.97,57.77,5.37%,37133314000,2.04%
